,Term1,Term2,Term3,Term4
1620,teofilina,bronquitis,doxilamina,rinitis
1621,fluor,osteoporosis,l arginina,acidosis
1622,morfina,disnea,cefotaxima,peritonitis
1623,espironolactona,hirsutismo,hidroxicarbamida,leucocitosis
1624,rifampicina,meningitis,lorazepam,vomitos
1625,heparina,tromboflebitis,acetilcisteina,envenenamiento
1626,oximorfona,dolor,acetilcisteina,neumonia
1627,talidomida,reticulosis,mebendazol,helmintosis
1628,tiamina,pelagra,carbamazepina,epilepsia
1629,cetoconazol,histoplasmosis,bleomicina,melanoma
1630,propranolol,taquiarritmia,olanzapina,esquizofrenia
1631,meropenem,meningitis,ibuprofeno,inflamacion
1632,cefotaxima,peritonitis,benzocaina,dentalgia
1633,oxacilina,meningitis,leflunomida,reumatismo
1634,itraconazol,aspergilosis,diclofenaco,inflamacion
1635,prometazina,nauseoso,brimonidina,glaucoma
1636,risperidona,demencia,carbamazepina,esquizofrenia
1637,tetraciclina,gonorrea,amoxicilina,sinusitis
1638,propranolol,taquiarritmia,hidrocodona,tos
1639,imipramina,dolor,difenhidramina,nauseoso
1640,feniltoloxamina,rinitis,bupivacaina,dolor
1641,cimetidina,acidez,budesonida,rinitis
1642,teofilina,bronquitis,meropenem,apendicitis
1643,vancomicina,neutropenia,guaifenesina,faringitis
1644,lovastatina,hipercolesterolemia,hidroclorotiazida,edema
1645,ciclosporina,soriasis,clonazepam,esquizofrenia
1646,fenitoina,epilepsia,loratadina,rinitis
1647,cefepima,fiebre,acetazolamida,glaucoma
1648,propofol,delirio,heparina,tromboembolia
1649,prometazina,nauseoso,etoposido,reticulosis
1650,talidomida,lepra,dihidrocodeina,dolor
1651,guaifenesina,sinusitis,adenosina,taquiarritmia
1652,sulfanilamida,candidosis,perfenazina,nauseoso
1653,papaverina,tromboembolia,ametopterina,soriasis
1654,metronidazol,absceso,diclofenaco,inflamacion
1655,paromomicina,criptosporidiasis,oxacilina,celulitis
1656,digoxina,shock,budesonida,rinitis
1657,fenfluramina,bulimia,ciprofloxacino,fiebre
1658,eritromicina,lues,aspirina,dolor
1659,fenazopiridina,dolor,dexametasona,rinitis
1660,guaifenesina,sinusitis,cefotaxima,neumonia
1661,metronidazol,rosacea,cefepima,pielonefritis
1662,fisostigmina,glaucoma,norfloxacino,cistitis
1663,propofol,desazon,etanercept,artritis
1664,voriconazol,aspergilosis,clonazepam,esquizofrenia
1665,hidroxicarbamida,soriasis,carboplatino, m osteosarcoma
1666,prednisolona,edema,dihidrocodeina,dolor
1667,octreotida,acromegalia,modafinilo,narcolepsia
1668,sucralfato,gastritis,ciprofloxacino,neutropenia
1669,octreotida,adenoma,ceftazidima,sepsis
1670,sucralfato,mucitis,nabumetona,dolor
1671,naproxeno,gota,itraconazol,histoplasmosis
1672,mitomicina,glaucoma,ibuprofeno,dismenorrea
1673,medroxiprogesterona,hipoventilacion,ciclofosfamida,reumatismo
1674,voriconazol,aspergilosis,auranofina,penfigo
1675,glicerina,dermatitis,prostaciclina,purpura
1676,procaina,dolor,hidroxicarbamida,leucocitosis
1677,minoxidil,calvicie,ciclofosfamida,reumatismo
1678,hidroxicarbamida,soriasis,tirocalcitonina,osteoporosis
1679,glucagon,anafilaxia,ceftriaxona,epididimitis
1680,norfloxacino,prostatitis,hidroquinona,hiperpigmentacion
1681,voriconazol,aspergilosis,sucralfato,gastritis
1682,modafinilo,cansancio,colchicina,gota
1683,niacina,hiperlipemia,fenfluramina,obesidad
1684,tiamina,beriberi,carboplatino, m osteosarcoma
1685,procarbazina,linfoma,metilprednisolona,hipersensibilidad
1686,ibuprofeno,fiebre,dexametasona,nauseoso
1687,mitoxantrona,leucemia,benzocaina,picazon
1688,oxicodona,dolor,citarabina,leucemia
1689,fenilpropanolamina,obesidad,cortisol,inflamacion
1690,glucosa,hipoglucemia,tirocalcitonina,hipercalcemia
1691,itraconazol,aspergilosis,glicerina,estreñimiento
1692,pseudoefedrina,asma,caspofungina,aspergilosis
1693,tetraciclina,bronquitis,metronidazol,enterocolitis
1694,carbonildiamida,hiperqueratosis,tiamina,pelagra
1695,testosterona,hipogonadismo,omeprazol,esofagitis
1696,prednisona,hipersensibilidad,cefepima,pielonefritis
1697,oximorfona,dolor,oxigeno,gangrenoso
1698,opio,diarrea,doxilamina,rinitis
1699,cortisol,inflamacion,fenfluramina,obesidad
1700,dihidrocodeina,dolor,bleomicina,melanoma
1701,indometacina,artritis,heparina,tromboflebitis
1702,aspirina,dolor,albendazol,giardosis
1703,penicilamina,reumatismo,glucagon,hipoglucemia
1704,fluoxetina,bulimia,clorpromazina,trismo
1705,dextran,shock,alprazolam,agorafobia
1706,estreptomicina,brucelosis,isotretinoina,leucemia
1707,itraconazol,histoplasmosis,eritromicina,lues
1708,ivermectina,prurito,ibuprofeno,dolor
1709,metilprednisolona,inflamacion,efedrina,hipopiesis
1710,pamidronato,hipercalcemia,moxifloxacino,pielonefritis
1711,progesterona,amenorrea,minoxidil,calvicie
1712,naproxeno,gota,paracetamol,dolor
1713,doxilamina,cefalodinia,dihidrocodeina,tos
1714,valdecoxib,dismenorrea,flucitosina,candidosis
1715,procarbazina,linfoma,colecalciferol,osteoporosis
1716,heparina,tromboembolia,cisaprida,estreñimiento
1717,propofol,delirio,cloroquina,plasmodiosis
1718,itraconazol,aspergilosis,colchicina,amiloidosis
1719,rifampicina,tuberculosis,epinefrina,glaucoma
1720,teofilina,asma,difenhidramina,urticaria
1721,octreotida,acromegalia,cefotaxima,neumonia
1722,moxifloxacino,pielonefritis,auranofina,artritis
1723,tiroglobulina,tirotoxicosis,albendazol,toxocariasis
1724,melfalan,rabdosarcoma,guaifenesina,faringitis
1725,prometazina,rinitis,claritromicina,bronquitis
1726,ketamina,dolor,bupivacaina,dolor
1727,testosterona,hipogonadismo,calcitriol,hiperparatiroidismo
1728,moxifloxacino,gonorrea,caspofungina,aspergilosis
1729,tiroglobulina,tirotoxicosis,fenol,dolor
1730,calcitriol,raquitismo,benzocaina,dentalgia
1731,warfarina,tromboflebitis,guaifenesina,tos
1732,desmopresina,trombocitopenia,budesonida,rinitis
1733,ceftazidima,sepsis,carisoprodol,miositis
1734,niacina,pelagra,cimetidina,dispepsia
1735,naproxeno,bursitis,isoniazida,tuberculosis
1736,guaifenesina,rinitis,ciprofloxacino,prostatitis
1737,meticilina,neumonia,medroxiprogesterona,amenorrea
1738,fenol,dolor,meropenem,fiebre
1739,selegilina,esquizofrenia,norepinefrina,shock
1740,metadona,dolor,ceftazidima,fiebre
1741,citalopram,demencia,azitromicina,tonsilitis
1742,niacina,pelagra,alcanfor,dolor
1743,topiramato,dolor,meticilina,neumonia
1744,feniltoloxamina,urticaria,diclorodiaminoplatino,astroglioma
1745,delta   tetrahidrocanabinol,vomitos,fentanilo,dolor
1746,fenol,dolor,cetoconazol,leishmaniosis
1747,moxifloxacino,bronquitis,ametopterina,leucemia
1748,fluconazol,histoplasmosis,cocaina,tos
1749,propiltiouracilo,bocio,naproxeno,inflamacion
1750,lovastatina,hipertrigliceridemia,cimetidina,acidez
1751,cloroquina,amebiasis,carisoprodol,espasmo
1752,carbonildiamida,hiperqueratosis,dihidrocodeina,dolor
1753,cefepima,sepsis,alopurinol,gota
1754,probenecid,neurosifilis,aspirina,dolor
1755,tetraciclina,gonorrea,daunorubicina,leucemia
1756,liotironina,tirotoxicosis,dietilestilbestrol,carcinoma
1757,cisaprida,gastroparesia,calcitriol,raquitismo
1758,nabumetona,dolor,glucagon,shock
1759,mitoxantrona,dolor,cloroquina,amebiasis
1760,ametopterina, m osteosarcoma,epinefrina,bradicardia
1761,mitomicina,adenocarcinoma,etoposido,rabdosarcoma
1762,diclorodiaminoplatino, m osteosarcoma,paracetamol,dolor
1763,carisoprodol,espasmo,bromocriptina,acromegalia
1764,octreotida,acromegalia,ifosfamida,linfoma
1765,ivermectina,prurito,budesonida,rinitis
1766,espironolactona,hipokalemia,imipramina,dolor
1767,rofecoxib,dismenorrea,flucitosina,meningitis
1768,prednisona,hipersensibilidad,carisoprodol,miositis
1769,rasburicasa,uricacidemia,cimetidina,dispepsia
1770,penicilamina,reumatismo,codeina,tos
1771,metronidazol,giardosis,lidocaina,dolor
1772,oxicodona,dolor,etoposido,leucemia
1773,sulfametoxazol,bronquitis,hidromorfona,tos
1774,vincristina,neuroblastoma,metronidazol,amebiasis
1775,vancomicina,enterocolitis,prednisolona,reumatismo
1776,nortriptilina,dolor,cefepima,pielonefritis
1777,isotretinoina,leucemia,indometacina,bursitis
1778,octreotida,adenoma,clofazimina,lepra
1779,tiroglobulina,tirotoxicosis,diclofenaco,inflamacion
1780,metilprednisolona,hipersensibilidad,esomeprazol,acidez
1781,itraconazol,aspergilosis,benzocaina,otalgia
1782,pamidronato,hipercalcemia,insulina,hiperglicemia
1783,sorbitol,estreñimiento,itraconazol,onicomicosis
1784,estreptomicina,brucelosis,metadona,dolor
1785,resorcinol,rosacea,eritromicina,lues
1786,prometazina,dolor,bismuto,disenteria
1787,quinina,babesiasis,adenosina,taquiarritmia
1788,paromomicina,criptosporidiasis,ipratropio,bronquitis
1789,warfarina,tromboembolia,clorpromazina,trismo
1790,nilutamida,carcinoma,diclofenaco,keratosis
1791,octreotida,acromegalia,fluconazol,histoplasmosis
1792,naproxeno,inflamacion,meropenem,meningitis
1793,warfarina,tromboembolia,ciprofloxacino,fiebre
1794,escopolamina,disenteria,dopamina,shock
1795,moxifloxacino,neumonia,ifosfamida,linfoma
1796,prednisolona,hipersensibilidad,metronidazol,amebiasis
1797,ipratropio,rinitis,clonidina,dismenorrea
1798,sildenafilo,impotencia,clotrimazol,candidosis
1799,furosemida,edema,clorpromazina,esquizofrenia
1800,temozolomida,melanoma,moxifloxacino,neumonia
1801,tiamina,pelagra,prednisona,reumatismo
1802,ametopterina, m osteosarcoma,etoposido,leucemia
1803,fenilpropanolamina,obesidad,eritromicina,gastroenteritis
1804,procaina,dolor,metronidazol,rosacea
1805,ketamina,dolor,diclorodiaminoplatino,linfoma
1806,ciclofosfamida,leucemia,calcitriol,hiperparatiroidismo
1807,indometacina,artritis,clonazepam,disartria
1808,hidroxicloroquina,plasmodiosis,guaifenesina,bronquitis
1809,ivermectina,prurito,doxiciclina,lues
1810,auranofina,artritis,adenosina,taquiarritmia
1811,metiltestosterona,hipogonadismo,diclorodiaminoplatino, m osteosarcoma
1812,finasterida,calvicie,cloroquina,penfigo
1813,meticilina,osteomielitis,clorpromazina,trismo
1814,haloperidol,esquizofrenia,clorpromazina,vomitos
1815,epinefrina,anafilaxia,diclofenaco,keratosis
1816,ipratropio,rinitis,diclofenaco,dismenorrea
1817,glucagon,hipoglucemia,difenhidramina,nauseoso
1818,espironolactona,hirsutismo,hidroxicarbamida,soriasis
1819,nabumetona,dolor,efedrina,rinitis
1820,mitoxantrona,dolor,cefotaxima,neumonia
1821,fenilpropanolamina,rinitis,cefuroxima,gonorrea
1822,risperidona,esquizofrenia,perfenazina,vomitos
1823,norfloxacino,cistitis,hidroclorotiazida,edema
1824,pseudoefedrina,sinusitis,ciprofloxacino,cistitis
1825,moxifloxacino,cistitis,glucagon,shock
1826,vancomicina,enterocolitis,codeina,tos
1827,oxicodona,dolor,nortriptilina,enuresis
1828,indometacina,bursitis,cortisol,shock
1829,niacinamida,hiperlipemia,ciclofosfamida,leucemia
1830,risperidona,demencia,meclozina,vertigo
1831,rifampicina,meningitis,dapsona,lepra
1832,epinefrina,glaucoma,ampicilina,listerelosis
1833,procaina,dolor,cefepima,sepsis
1834,sulfanilamida,candidosis,epinefrina,bradicardia
1835,perfenazina,vomitos,difenhidramina,urticaria
1836,capsaicina,neuralgia,atorvastatina,hipercolesterolemia
1837,guaifenesina,coqueluche,ciprofloxacino,gonorrea
1838,probenecid,gota,ciclofosfamida,hemosiderosis
1839,cortisol,shock,etanercept,artritis
1840,fenilpropanolamina,rinitis,adenosina,taquiarritmia
1841,fluconazol,candidosis,atropina,uveitis
1842,voriconazol,aspergilosis,l arginina,acidosis
1843,vincristina,neuroblastoma,brimonidina,glaucoma
1844,dopamina,shock,tirocalcitonina,osteoporosis
1845,difenhidramina,urticaria,claritromicina,bronquitis
1846,teofilina,bronquitis,colecalciferol,soriasis
1847,imipenem,septicemia,ceftriaxona,enteritis
1848,oxigeno,gangrenoso,capsaicina,neuralgia
1849,moxifloxacino,gonorrea,etoposido,rabdosarcoma
1850,moxifloxacino,cistitis,ketamina,dolor
1851,clonazepam,esquizofrenia,amoxicilina,listerelosis
1852,probenecid,gonorrea,carisoprodol,miositis
1853,ipratropio,rinitis,cortisol,inflamacion
1854,liotironina,bocio,estrona,hipogonadismo
1855,pilocarpina,midriasis,levofloxacino,pielonefritis
1856,pilocarpina,asialia,cetoconazol,leishmaniosis
1857,dopamina,shock,clorpromazina,vomitos
1858,topiramato,dolor,tiroglobulina,bocio
1859,melfalan,neuroblastoma,buprenorfina,dolor
1860,propofol,delirio,mitoxantrona,dolor
1861,indometacina,bursitis,cefuroxima,neumonia
1862,topotecan,carcinoma,modafinilo,narcolepsia
1863,tiamina,pelagra,itraconazol,candidosis
1864,filgrastim,neutropenia,ampicilina,gonorrea
1865,lidocaina,taquiarritmia,cloroquina,amebiasis
1866,indometacina,artritis,auranofina,artritis
1867,naproxeno,bursitis,guaifenesina,faringitis
1868,ibuprofeno,inflamacion,glucagon,hipopiesis
1869,desoxiefedrina,obesidad,mesna,cistitis
1870,moxifloxacino,bronquitis,bromocriptina,acromegalia
1871,fenobarbital,hiperbilirrubinemia,pamidronato,hipercalcemia
1872,ciclofosfamida,retinoblastoma,bromocriptina,amenorrea
1873,pantoprazol,esofagitis,metronidazol,amebiasis
1874,naproxeno,dismenorrea,ciprofloxacino,disenteria
1875,rifapentina,tuberculosis,irinotecan,linfoma
1876,ceftriaxona,meningitis,carbamazepina,esquizofrenia
1877,minoxidil,calvicie,enoxaparina,tromboembolia
1878,talco,neumotorax,indometacina,dolor
1879,moxifloxacino,bronquitis,l arginina,alcalosis
1880,irinotecan,leucemia,fluconazol,meningitis
1881,sorbitol,envenenamiento,colchicina,gota
1882,rifampicina,brucelosis,opio,diarrea
1883,selegilina,esquizofrenia,meropenem,meningitis
1884,niacina,hiperlipemia,desmopresina,trombocitopenia
1885,opio,diarrea,leflunomida,reumatismo
1886,norfloxacino,cistitis,doxiciclina,lues
1887,espironolactona,hipokalemia,glicerina,dermatitis
1888,meprobamato,cefalodinia,eugenol,dentalgia
1889,sildenafilo,impotencia,prednisolona,reumatismo
1890,docetaxel,melanoma,l arginina,alcalosis
1891,fentanilo,dolor,acetilcisteina,neumonia
1892,ampicilina,meningitis,acetilcisteina,envenenamiento
1893,pseudoefedrina,rinitis,cerivastatina,hipercolesterolemia
1894,vinblastina,reticulosis,temozolomida,melanoma
1895,fenitoina,epilepsia,clofazimina,lepra
1896,oxitetraciclina,gonorrea,dopamina,shock
1897,cabergolina,hiperprolactinemia,l arginina,alcalosis
1898,ciclofosfamida,hemosiderosis,atorvastatina,hipercolesterolemia
1899,warfarina,tromboflebitis,teofilina,apnea
1900,nitazoxanida,giardosis,clonidina,dolor
1901,diclorodiaminoplatino,carcinoma,budesonida,rinitis
1902,metiltestosterona,hipogonadismo,isotretinoina,leucemia
1903,risperidona,demencia,colchicina,amiloidosis
1904,teofilina,asma,quinina,babesiasis
1905,modafinilo,cansancio,metronidazol,amebiasis
1906,hidroquinona,hiperpigmentacion,ampicilina,disenteria
1907,gabapentina,dolor,cabergolina,hiperprolactinemia
1908,norfloxacino,prostatitis,benzocaina,picazon
1909,metiltestosterona,hipogonadismo,cetoconazol,leishmaniosis
1910,prednisona,hipersensibilidad,digoxina,shock
1911,perfenazina,vomitos,fluconazol,candidosis
1912,rofecoxib,dismenorrea,bromocriptina,acromegalia
1913,tacrolimus,dermatitis,desmopresina,enuresis
1914,liotironina,bocio,sucralfato,gastritis
1915,ibuprofeno,dismenorrea,ampicilina,disenteria
1916,meropenem,apendicitis,paracetamol,fiebre
1917,nitazoxanida,criptosporidiasis,lorazepam,vomitos
1918,naproxeno,gota,  fenilpropano   amina,narcolepsia
1919,fenilefrina,rinitis,aspirina,inflamacion
1920,cisaprida,dispepsia,budesonida,rinitis
1921,ceftazidima,neutropenia,cefepima,neumonia
1922,clomipramina,dolor,ampicilina,listerelosis
1923,cetoconazol,leishmaniosis,citarabina,linfoma
1924,teofilina,bronquitis,cafeina,apnea
1925,imipramina,dolor,cefuroxima,neumonia
1926,teofilina,bronquitis,calcitriol,soriasis
1927,colchicina,gota,cefepima,neutropenia
1928,moxifloxacino,bronquitis,dietilestilbestrol,carcinoma
1929,fentanilo,dolor,aspirina,dolor
1930,prednisona,reumatismo,clorpromazina,trismo
1931,mitomicina,adenocarcinoma,insulina,humano
1932,trimetoprima,toxoplasmosis,liotironina,tirotoxicosis
1933,lindano,prurito,colchicina,amiloidosis
1934,fisostigmina,glaucoma,mentol,dolor
1935,propofol,delirio,acemanan,leucemia
1936,topiramato,epilepsia,acetilcisteina,envenenamiento
1937,norfloxacino,cistitis,citarabina,leucemia
1938,risperidona,esquizofrenia,meperidina,dolor
1939,ciprofloxacino,osteomielitis,acemanan,leucemia
1940,dexametasona,vomitos,diclorodiaminoplatino,neuroblastoma
1941,cocaina,dolor,cefuroxima,gonorrea
1942,epinefrina,glaucoma,capsaicina,neuralgia
1943,prometazina,nauseoso,haloperidol,esquizofrenia
1944,gabapentina,epilepsia,epinefrina,anafilaxia
1945,perfenazina,vomitos,bupivacaina,dolor
1946,dextran,shock,cefepima,fiebre
1947,metronidazol,amebiasis,cefepima,neutropenia
1948,talco,neumotorax,ciclofosfamida,hemosiderosis
1949,dopamina,bradicardia,carisoprodol,espasmo
1950,talco,neumotorax,irinotecan,linfoma
1951,vinblastina,corioepitelioma,ifosfamida,sarcoma
1952,trombina,sangrado,difenhidramina,urticaria
1953,paromomicina,criptosporidiasis,ibuprofeno,dolor
1954,fenobarbital,hiperbilirrubinemia,paromomicina,amebiasis
1955,indometacina,dolor,fluor,osteoporosis
1956,guaifenesina,tos,ciclofosfamida,neuroblastoma
1957,cimetidina,dispepsia,cefuroxima,sinusitis
1958,dapsona,lepra,ceftriaxona,enteritis
1959,medroxiprogesterona,hipoventilacion,cefotaxima,meningitis
1960,norfloxacino,cistitis,cefotaxima,peritonitis
1961,prazicuantel,bilarziasis,enoxaparina,tromboembolia
1962,prednisona,hipersensibilidad,cefuroxima,gonorrea
1963,risperidona,esquizofrenia,cefuroxima,faringitis
1964,nitazoxanida,diarrea,eritromicina,lues
1965,prometazina,dolor,cefuroxima,impetigo
1966,ciclofosfamida,hemosiderosis,aspirina,dolor
1967,furosemida,edema,ceftriaxona,enteritis
1968,testosterona,hipogonadismo,citarabina,linfoma
1969,temozolomida,melanoma,ibuprofeno,dolor
1970,isoniazida,tuberculosis,carisoprodol,dolor
1971,prednisolona,hipersensibilidad,fenazopiridina,dolor
1972,loratadina,urticaria,itraconazol,aspergilosis
1973,cortisol,reumatismo,clindamicina,toxoplasmosis
1974,oxicodona,dolor,oxacilina,septicemia
1975,carisoprodol,espasmo,adenosina,taquiarritmia
1976,probenecid,neurosifilis,paracetamol,dolor
1977,moxifloxacino,gonorrea,meprobamato,espasmo
1978,mitoxantrona,dolor,eritromicina,gastroenteritis
1979,ibuprofeno,inflamacion,hidroxicarbamida,melanoma
1980,glucagon,hipopiesis,albendazol,toxocariasis
1981,metilprednisolona,hipersensibilidad,guaifenesina,faringitis
1982,selegilina,esquizofrenia,ivermectina,prurito
1983,glucagon,anafilaxia,fluor,osteoporosis
1984,risperidona,esquizofrenia,ibuprofeno,gota
1985,hidroxicloroquina,plasmodiosis,ciprofloxacino,osteomielitis
1986,oxitetraciclina,gonorrea,ceftriaxona,meningitis
1987,sorbitol,estreñimiento,isoniazida,tuberculosis
1988,tramadol,dolor,paromomicina,criptosporidiasis
1989,fenilefrina,glaucoma,difenhidramina,nauseoso
1990,eritromicina,coqueluche,carisoprodol,dolor
1991,espironolactona,edema,cefuroxima,faringitis
1992,buprenorfina,dolor,aciclovir,varicela
1993,selegilina,esquizofrenia,paromomicina,criptosporidiasis
1994,desmopresina,enuresis,acetilcisteina,bronquiectasia
1995,tacrolimus,dermatitis,nortriptilina,dolor
1996,tamoxifeno,ginecomastia,cefuroxima,impetigo
1997,carbonildiamida,hiperqueratosis,oximorfona,dolor
1998,fisostigmina,glaucoma,eflornitina,politricosis
1999,sorbitol,envenenamiento,cefepima,sepsis
2000,mitomicina,adenocarcinoma,mebendazol,helmintosis
2001,carbonildiamida,hiperqueratosis,cortisol,reumatismo
2002,glucagon,bradicardia,fluor,osteoporosis
2003,ceftazidima,sepsis,tirocalcitonina,hipercalcemia
2004,levofloxacino,neumonia,ciclofosfamida,hemosiderosis
2005,oxacilina,celulitis,moxifloxacino,gonorrea
2006,rifabutina,tuberculosis,enoxaparina,angor
2007,escopolamina,diverticulitis,dapsona,lepra
2008,fentanilo,dolor,carbamazepina,epilepsia
2009,loratadina,rinitis,ceftriaxona,gonorrea
2010,trimetoprima,bronquitis,probenecid,gonorrea
2011,hidroxicloroquina,plasmodiosis,amoxicilina,sinusitis
2012,digoxina,shock,ciprofloxacino,neutropenia
2013,rifampicina,lepra,hidroxicloroquina,plasmodiosis
2014,testosterona,hipogonadismo,prostaciclina,arteriosclerosis
2015,insulina,humano,ibuprofeno,gota
2016,octreotida,diarrea,metronidazol,enterocolitis
2017,tetraciclina,lues,mitoxantrona,leucemia
2018,guaifenesina,laringitis,clorpromazina,esquizofrenia
2019,melfalan,neuroblastoma,bromocriptina,amenorrea
2020,nandrolona,anemia,diclofenaco,inflamacion
2021,itraconazol,neutropenia,filgrastim,neutropenia
2022,trimetoprima,bronquitis,delta   tetrahidrocanabinol,anorexia
2023,delta   tetrahidrocanabinol,vomitos,lidocaina,dolor
2024,tiroxina,tirotoxicosis,deferoxamina,hemocromatosis
2025,morfina,disnea,buprenorfina,dolor
2026,prazicuantel,bilarziasis,linezolid,neumonia
2027,risperidona,esquizofrenia,leucovorina,anemia
2028,meropenem,peritonitis,prostaciclina,purpura
2029,ciclofosfamida,retinoblastoma,clonidina,diarrea
2030,tiabendazol,helmintosis,naproxeno,fiebre
2031,ivermectina,prurito,ciprofloxacino,neutropenia
2032,sucralfato,esofagitis,lovastatina,hipercolesterolemia
2033,tramadol,dolor,rofecoxib,dismenorrea
2034,quinina,plasmodiosis,bromocriptina,amenorrea
2035,sulfametoxazol,toxoplasmosis,cefotaxima,peritonitis
2036,probenecid,neurosifilis,ibuprofeno,bursitis
2037,esomeprazol,esofagitis,claritromicina,tonsilitis
2038,nortriptilina,dolor,mitoxantrona,sarcoma
2039,liotironina,bocio,metilfenidato,narcolepsia
2040,tacrolimus,dermatitis,colchicina,amiloidosis
2041,codeina,dolor,cloroquina,plasmodiosis
2042,hidromorfona,tos,esomeprazol,esofagitis
2043,paromomicina,amebiasis,ceftazidima,neutropenia
2044,esomeprazol,acidez,alprazolam,agorafobia
2045,metronidazol,rosacea,fentanilo,dolor
2046,fenilefrina,glaucoma,dexametasona,rinitis
2047,meclozina,vomitos,cetoconazol,candidosis
2048,selegilina,esquizofrenia,epinefrina,anafilaxia
2049,guaifenesina,faringitis,clotrimazol,candidosis
2050,doxiciclina,neumonia,carisoprodol,dolor
2051,escopolamina,diverticulitis,acetilcisteina,bronquiectasia
2052,prometazina,nauseoso,esomeprazol,esofagitis
2053,moxifloxacino,pielonefritis,acemanan,leucemia
2054,prednisona,hipersensibilidad,cortisol,inflamacion
2055,diclofenaco,inflamacion,calcitriol,hiperparatiroidismo
2056,opio,diarrea,nistatina,candidosis
2057,epinefrina,anafilaxia,alopurinol,gota
2058,fenilefrina,rinitis,hidromorfona,tos
2059,tiroglobulina,tirotoxicosis,tacrolimus,dermatitis
2060,metilfenidato,narcolepsia,mebendazol,helmintosis
2061,itraconazol,neutropenia,aspirina,inflamacion
2062,acetofenetidina,dolor,cefuroxima,gonorrea
2063,tacrolimus,dermatitis,dihidrocodeina,dolor
2064,carisoprodol,espasmo,ampicilina,disenteria
2065,fenazopiridina,dolor,eritromicina,coqueluche
2066,dexametasona,nauseoso,ceftriaxona,epididimitis
2067,tiabendazol,helmintosis,calcitriol,hiperparatiroidismo
2068,propranolol,cromafinoma,ametopterina, m osteosarcoma
2069,auranofina,penfigo,adenosina,taquiarritmia
2070,permetrina,prurito,lidocaina,dolor
2071,metronidazol,giardosis,mesna,sangrado
2072,dapsona,lepra,clorpromazina,esquizofrenia
2073,pseudoefedrina,asma,clorpromazina,trismo
2074,filgrastim,neutropenia,dextran,shock
2075,nitazoxanida,giardosis,amoxicilina,sinusitis
2076,metronidazol,amebiasis,calcitriol,raquitismo
2077,probenecid,gonorrea,naproxeno,inflamacion
2078,propiltiouracilo,bocio,feniltoloxamina,rinitis
2079,mitomicina,glaucoma,salbutamol,asma
2080,sucralfato,mucitis,cefuroxima,faringitis
2081,resorcinol,rosacea,atorvastatina,hipercolesterolemia
2082,nilutamida,carcinoma,moxifloxacino,bronquitis
2083,diclofenaco,dismenorrea,cefepima,sepsis
2084,cefuroxima,impetigo,calcitriol,soriasis
2085,tamoxifeno,ginecomastia,cefotaxima,gonorrea
2086,hidromorfona,dolor,bupivacaina,dolor
2087,feniltoloxamina,rinitis,desmopresina,sangrado
2088,topotecan,carcinoma,ibuprofeno,dolor
2089,opio,dolor,mercaptopurina,linfoma
2090,liotironina,bocio,ciclosporina,soriasis
2091,norfloxacino,prostatitis,levofloxacino,neumonia
2092,ibuprofeno,dismenorrea,diclofenaco,inflamacion
2093,claritromicina,sinusitis,budesonida,rinitis
2094,nabumetona,inflamacion,acetilcisteina,neumonia
2095,naproxeno,fiebre,dihidrocodeina,tos
2096,oxitetraciclina,gonorrea,ceftriaxona,gonorrea
2097,risperidona,esquizofrenia,nortriptilina,enuresis
2098,ipratropio,bronquitis,aspirina,dolor
2099,itraconazol,histoplasmosis,diclorodiaminoplatino, m osteosarcoma
2100,flucitosina,meningitis,ceftazidima,meningitis
2101,vincristina,linfoma,ceftazidima,neutropenia
2102,clorpromazina,esquizofrenia,l arginina,acidosis
2103,nitroglicerina,eclampsia,bromocriptina,hiperprolactinemia
2104,vincristina,linfoma,tramadol,dolor
2105,vancomicina,enterocolitis,glucagon,bradicardia
2106,paromomicina,amebiasis,norfloxacino,prostatitis
2107,citarabina,leucemia,calcitriol,hipocalcemia
2108,midazolam,desazon,desoxiefedrina,obesidad
2109,reserpina,esquizofrenia,lidocaina,taquiarritmia
2110,rifampicina,tuberculosis,diclorodiaminoplatino,mesotelioma
2111,fenilefrina,hipopiesis,atropina,envenenamiento
2112,prazicuantel,bilarziasis,ciclofosfamida,leucemia
2113,feniltoloxamina,rinitis,paracetamol,fiebre
2114,pamidronato,osteoporosis,nortriptilina,enuresis
2115,rifabutina,tuberculosis,clomipramina,dolor
2116,tiroglobulina,tirotoxicosis,oxitetraciclina,lues
2117,vincristina,rabdosarcoma,mitoxantrona,sarcoma
2118,warfarina,tromboembolia,oxigeno,neumonia
2119,simvastatina,hipertrigliceridemia,filgrastim,neutropenia
2120,teofilina,bronquitis,codeina,dolor
2121,flucitosina,meningitis,bromocriptina,acromegalia
2122,norepinefrina,shock,naproxeno,fiebre
2123,sucralfato,mucitis,colchicina,gota
2124,efedrina,asma,dexametasona,vomitos
2125,metronidazol,rosacea,colecalciferol,soriasis
2126,mitomicina,adenocarcinoma,tirocalcitonina,hipercalcemia
2127,cefuroxima,sinusitis,bismuto,disenteria
2128,clindamicina,toxoplasmosis,buprenorfina,dolor
2129,tiroxina,bocio,hidroxicarbamida,leucocitosis
2130,sildenafilo,impotencia,tirocalcitonina,hipercalcemia
2131,itraconazol,neutropenia,ceftazidima,neutropenia
2132,niacina,hiperlipemia,cefuroxima,faringitis
